Product Name,Price,Category,ImageURL,PageURL
Panero tost classic 500 g,"1,65 €",Tost i dvopek,https://imageproxy.wolt.com/assets/6679412b467c3d6a774c4f33,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Panero tost sa sjemenkama 500 g,"1,85 €",Tost i dvopek,https://imageproxy.wolt.com/assets/6679431d7f057b66f9273da4,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Barilla kruh pan bauletto bianco rezani 400 g,"1,83 €",Tost i dvopek,https://imageproxy.wolt.com/assets/66794299a81b944655216be9,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Mulino bianco pan bauletto tost integralni 400 g,"1,83 €",Tost i dvopek,https://imageproxy.wolt.com/assets/667942845ef6677ac936d0a1,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Mlinar dvopek classic 320 g,"2,52 €",Tost i dvopek,https://imageproxy.wolt.com/assets/667942283cbd30437db41131,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Mulino bianco granetti dvopek 280 g,"3,05 €",Tost i dvopek,https://imageproxy.wolt.com/assets/667941067f057b66f9270fe5,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Mlinar toast classic 400 g,"2,09 €",Tost i dvopek,https://imageproxy.wolt.com/assets/6679381ead16d3049c1b5b3c,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Naturel dvopek mini classic 120 g,"1,59 €",Tost i dvopek,https://imageproxy.wolt.com/assets/6679421f7a690b684afa06fb,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Panero dvopek klasik 330 g,"1,95 €",Tost i dvopek,https://imageproxy.wolt.com/assets/667940c5ad16d3049c1c20f5,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Barilla kruh pan carré rezani za tost 285 g,"1,51 €",Tost i dvopek,https://imageproxy.wolt.com/assets/667942adcd8400238820806a,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Mlinar toast integralni 400 g,"2,12 €",Tost i dvopek,https://imageproxy.wolt.com/assets/66793872a1ccf454349996d6,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Quickbury sandwich toast 750 g,"3,15 €",Tost i dvopek,https://imageproxy.wolt.com/assets/667940d5418d9b248553fb62,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Naturel integralni mini dvopek 120 g,"1,59 €",Tost i dvopek,https://imageproxy.wolt.com/assets/667942b849babc11baa71970,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Žito zlati prepečenec dvopek klasik 330 g,"2,19 €",Tost i dvopek,https://imageproxy.wolt.com/assets/667942adcd8400238820806d,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Klara tost s integralnim brašnom 500 g,"2,42 €",Tost i dvopek,https://imageproxy.wolt.com/assets/667942be7fc2644ad0765aec,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Klara tost 500 g,"2,42 €",Tost i dvopek,https://imageproxy.wolt.com/assets/6679403e35e1b1789b0511c2,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Mulino bianco dvopek integralni 315 g,"2,99 €",Tost i dvopek,https://imageproxy.wolt.com/assets/667942771ddf225f482b933f,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Mulino bianco dvopek dorate 315 g,"2,92 €",Tost i dvopek,https://imageproxy.wolt.com/assets/66794295418d9b24855420a3,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
Zanuv tortilja 20 cm 8/1,"2,82 €",Tost i dvopek,https://imageproxy.wolt.com/assets/66794152418d9b2485540697,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/tost-i-dvopek-5
7 days croissant super max double kakao vanilija 110 g,"1,42 €",Kroasani i kolači,https://imageproxy.wolt.com/assets/6679426caafb6a54ed7eb993,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
7 days croissant kakao vanilija 6x40 g,"3,22 €",Kroasani i kolači,https://imageproxy.wolt.com/assets/667942732f2a0839d4ca0855,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
Bon gusto kroasan kakao 50g,"0,46 €",Kroasani i kolači,https://imageproxy.wolt.com/assets/667942aecd84002388208098,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
